vehicleplatenumber,device_num,direction_angle,lng,lat,acc_state,right_turn_signals,left_turn_signals,hand_brake,foot_brake,location_time,gps_speed,mileage
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:22:13,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:22:14,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:22:15,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:22:16,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:22:17,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:22:18,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:22:19,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:22:20,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:22:21,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:22:22,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:22:23,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:22:24,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:22:25,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:22:26,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:22:27,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:22:28,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:22:29,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:22:30,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:22:31,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:22:32,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:22:33,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:22:34,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:22:35,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:22:36,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:22:37,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:22:38,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:22:39,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:22:40,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:22:41,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:22:42,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:22:43,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:22:44,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:22:45,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:22:46,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:22:47,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:22:48,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:22:49,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:22:50,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:22:51,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:22:52,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:22:53,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:22:54,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:22:55,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:22:56,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:22:57,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:22:58,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:22:59,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:00,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:01,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:02,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:03,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:04,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:05,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:06,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:07,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:08,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:09,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:10,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:11,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:12,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:13,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:14,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:15,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:16,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:17,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:18,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:19,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:20,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:21,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:22,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:23,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:24,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:25,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:26,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:27,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:28,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:29,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:30,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:31,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:32,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:33,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:34,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:35,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:36,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:37,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:38,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:39,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:40,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:41,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:42,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:43,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:44,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:45,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:46,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:47,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:48,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:49,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:50,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:51,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:52,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:53,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:54,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:55,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:56,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:57,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:58,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:23:59,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:00,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:01,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:03,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:05,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:06,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:07,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:08,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:09,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:10,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:11,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:12,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:13,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:14,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:15,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:16,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:17,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:19,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:20,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:21,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:22,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:23,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:24,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:25,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:26,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:27,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:28,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:29,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:30,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:31,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:32,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:33,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:34,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:35,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:36,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:37,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:38,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:40,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:41,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:42,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:43,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:44,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:45,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:46,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:47,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:48,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:49,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:50,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:51,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:52,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:53,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:54,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:55,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:56,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:57,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:58,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:24:59,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:00,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:01,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:02,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:03,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:04,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:05,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:06,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:07,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:08,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:09,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:10,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:11,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:12,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:13,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:14,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:15,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:16,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:17,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:18,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:19,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:20,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:21,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:22,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:23,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:24,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:25,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:26,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:27,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:28,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:29,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:30,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:31,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:32,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:33,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:34,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:35,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:36,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:37,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:38,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:39,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:40,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:41,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:42,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:43,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:44,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:45,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:46,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:47,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:48,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:49,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:50,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:51,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:52,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:53,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:54,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:55,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:56,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:57,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:58,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:25:59,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:26:00,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:26:01,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:26:02,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:26:03,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:26:04,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:26:05,0,16974
AA00456,AAA8103456,76,115.89983600000001,28.595247999999998,1,0,0,0,0,2018-09-29 01:26:06,0,16974
